onset_s,duration_s,description
2.364,0.0,Via physical button
2.453,0.0,Via physical button
4.008,0.0,Via physical button
4.949,0.0,Via physical button
5.885,0.0,Via physical button
6.069,0.0,Via physical button
8.597,0.0,Via physical button
10.003,0.0,EEG CZD
10.003,0.0,CZD-EEG-ANALIZA
10.003,0.0,EEG CZD
10.003,0.0,EEG CZD
10.003,0.0,EEG CZD
10.003,0.0,EEG CZD
10.003,0.0,EEG CZD
10.003,0.0,EEG CZD
10.011,0.0,EEG CZD
10.011,0.0,CZD-EEG-ANALIZA
10.55,0.0,Via physical button
11.325,0.0,Via physical button
21.416,0.0,CZD-EEG-ANALIZA
21.416,0.0,CZD-EEG-ANALIZA
22.706,0.0,Via physical button
37.787,0.0,CZD-EEG-ANALIZA
52.791,0.0,EEG CZD
91.186,0.0,CZD-EEG-ANALIZA
1034.376,0.0,EEG CZD
1162.748,0.0,EEG CZD
1973.171,0.0,EEG CZD
2877.802,0.0,1
2877.837,0.0,Via physical button
3026.081,0.0,CZD-EEG-ANALIZA
3036.9,0.0,<Gap Begin>
3037.061,0.0,1
3129.2,0.0,<Gap End>
6484.566,0.0,1
6484.6,0.0,Via physical button
7783.346,0.0,CZD-EEG-ANALIZA
10222.886,0.0,1
10222.924,0.0,Via physical button
10703.436,0.0,CZD-EEG-ANALIZA
12940.003,0.0,EEG CZD
13843.235,0.0,CZD-EEG-ANALIZA
13977.659,0.0,CZD-EEG-ANALIZA
14829.967,0.0,EEG CZD
14915.547,0.0,EEG CZD
15161.777,0.0,CZD-EEG-ANALIZA
15273.031,0.0,1
15273.067,0.0,Via physical button
15886.676,0.0,NAPAD
15896.123,0.0,CZD-EEG-ANALIZA
15896.286,0.0,1
15896.323,0.0,Via physical button
19941.601,0.0,NAPAD
19944.509,0.0,1
19944.548,0.0,Via physical button
20373.836,0.0,NAPAD
20400.45,0.0,1
20400.485,0.0,Via physical button
24903.632,0.0,1
24903.666,0.0,Via physical button
24930.563,0.0,CZD-EEG-ANALIZA
31834.545,0.0,NAPAD
31839.269,0.0,CZD-EEG-ANALIZA
35121.92,0.0,1
35121.961,0.0,Via physical button
35144.546,0.0,EEG CZD
38160.203,0.0,1
38160.242,0.0,Via physical button
38629.318,0.0,1
40537.228,0.0,NAPAD
41346.118,0.0,NAPAD
41758.518,0.0,1
