window,channel,mean,std,min,max,%flat,%saturated,flag
start,RD1-RD2,7e-08,0.00010615,-0.00048534,0.00030622,0.0,0.0,ok
start,RD2-RD3,1e-08,5.909e-05,-0.00023784,0.00023334,0.0,0.0,ok
start,RD3-RD4,3e-08,3.321e-05,-0.00016495,0.00013127,0.0,0.0,ok
start,RD4-RD5,-3e-08,4.709e-05,-0.00021738,0.00016245,0.0,0.0,ok
start,RD5-RD6,-3e-08,1.297e-05,-4.951e-05,6.139e-05,0.0,0.0,ok
start,RD6-RD7,-4e-08,1.432e-05,-6.783e-05,6.472e-05,0.0,0.0,ok
start,RD7-RD8,-5e-08,7.65e-06,-2.455e-05,3.144e-05,0.0,0.0,ok
start,RFO1-RFO2,-8e-08,6.14e-05,-0.00022366,0.00021426,0.0,0.0,ok
start,RFO2-RFO3,-1.9e-07,4.3e-05,-0.00019501,0.00016084,0.0,0.0,ok
start,RFO3-RFO4,-2e-08,4.646e-05,-0.00015882,0.00025272,0.0,0.0,ok
start,RFO4-RFO5,-2e-08,4.398e-05,-0.00022009,0.00015848,0.0,0.0,ok
start,RFO5-RFO6,1.2e-07,9.424e-05,-0.0003616,0.00032443,0.0,0.0,ok
start,RFO6-RFO7,1e-08,1.271e-05,-8.272e-05,8.193e-05,0.0,0.0,ok
start,RFO7-RFO8,-2e-08,8.5e-06,-3.101e-05,4.076e-05,0.0,0.0,ok
start,RIP1-RIP2,5e-08,3.66e-05,-0.00020627,0.00012993,0.0,0.0,ok
start,RIP2-RIP3,-2e-07,9.651e-05,-0.00028567,0.00042299,0.0,0.0,ok
start,RIP3-RIP4,5e-08,5.863e-05,-0.00025936,0.00026028,0.0,0.0,ok
start,RIP4-RIP5,9e-08,2.986e-05,-0.00012765,0.00013962,0.0,0.0,ok
start,RIP5-RIP6,6e-08,1.29e-05,-7.398e-05,4.817e-05,0.0,0.0,ok
start,RIP9-RIP10,5e-08,8.87e-06,-5.856e-05,3.492e-05,0.0,0.0,ok
start,RIP10-RIP11,-2e-08,1.045e-05,-5.561e-05,5.295e-05,0.0,0.0,ok
start,RIP11-RIP12,-1.1e-07,3.066e-05,-0.00011449,0.00018794,0.0,0.0,ok
start,RIP12-RIP13,-2.8e-07,5.431e-05,-0.00023296,0.00030322,0.0,0.0,ok
start,RIP13-RIP14,5.5e-07,7.789e-05,-0.00064907,0.00036521,0.0,0.0,ok
start,RIP14-RIP15,3.1e-07,3.461e-05,-0.00026089,0.00015126,0.0,0.0,ok
start,RDM1-RDM2,-1e-08,2.094e-05,-9.612e-05,8.093e-05,0.0,0.0,ok
start,RDM2-RDM3,-9e-08,2.126e-05,-8.853e-05,8.62e-05,0.0,0.0,ok
start,RDM3-RDM4,-2e-07,2.063e-05,-7.834e-05,7.855e-05,0.0,0.0,ok
start,RDM4-RDM5,-4.1e-07,2.679e-05,-9.106e-05,0.00010271,0.0,0.0,ok
start,RDM5-RDM6,-8e-08,1.71e-05,-7.118e-05,7.698e-05,0.0,0.0,ok
start,RDM6-RDM7,2.1e-07,5.312e-05,-0.00020755,0.00026623,0.0,0.0,ok
start,RDM7-RDM8,2.4e-07,6.41e-05,-0.00041321,0.00048948,0.0,0.0,ok
start,RTS1-RTS2,3e-08,2.092e-05,-0.00010814,8.589e-05,0.0,0.0,ok
start,RTS2-RTS3,8e-08,1.961e-05,-0.00010817,7.875e-05,0.0,0.0,ok
start,RTS3-RTS4,-1e-08,1.628e-05,-8.534e-05,0.00010552,0.0,0.0,ok
start,RTS4-RTS5,0.0,1.614e-05,-0.00013283,5.514e-05,0.0,0.0,ok
start,RTS5-RTS6,2e-08,1.544e-05,-0.00011864,6.779e-05,0.0,0.0,ok
start,RTS6-RTS7,5e-08,1.844e-05,-0.00011697,8.154e-05,0.0,0.0,ok
start,RTS7-RTS8,4e-08,2.515e-05,-0.00015024,0.0001136,0.0,0.0,ok
start,RTS8-RTS9,-1.2e-07,2.208e-05,-0.00013878,0.00013091,0.0,0.0,ok
start,RTS9-RTS10,-2e-08,3.461e-05,-0.00011316,0.00019505,0.0,0.0,ok
start,RTS10-RTS11,-3e-08,3.16e-05,-0.00011014,0.00016876,0.0,0.0,ok
start,RTS11-RTS12,-2e-08,8.9e-06,-3.443e-05,3.824e-05,0.0,0.0,ok
start,RL1-RL2,8e-08,2.558e-05,-0.00020908,0.00014477,0.0,0.0,ok
start,RL2-RL3,4.1e-07,4.615e-05,-0.00029197,0.00023652,0.0,0.0,ok
