window,channel,mean,std,min,max,%flat,%saturated,flag
end,RD1-RD2,-7.8e-07,0.00011622,-0.00037953,0.00037208,0.0,0.0,ok
end,RD2-RD3,5.9e-07,5.971e-05,-0.00027112,0.0002542,0.0,0.0,ok
end,RD3-RD4,2.3e-07,3.815e-05,-0.00013491,0.00013291,0.0,0.0,ok
end,RD4-RD5,-3.3e-07,5.674e-05,-0.00017882,0.00017461,0.0,0.0,ok
end,RD5-RD6,-7e-08,1.515e-05,-5.321e-05,6.292e-05,0.0,0.0,ok
end,RD6-RD7,-1e-07,1.507e-05,-6.32e-05,6.248e-05,0.0,0.0,ok
end,RD7-RD8,-6e-08,5.97e-06,-2.822e-05,2.337e-05,0.0,0.0,ok
end,RFO1-RFO2,2.6e-07,0.00012633,-0.00068259,0.000653,0.0,0.0,ok
end,RFO2-RFO3,-3.6e-07,6.097e-05,-0.00027239,0.00020739,0.0,0.0,ok
end,RFO3-RFO4,3e-07,6.297e-05,-0.00020272,0.00029081,0.0,0.0,ok
end,RFO4-RFO5,1.1e-07,5.017e-05,-0.0001583,0.00018017,0.0,0.0,ok
end,RFO5-RFO6,-2.3e-07,7.755e-05,-0.00028907,0.0002657,0.0,0.0,ok
end,RFO6-RFO7,-4e-08,1.428e-05,-6.262e-05,5.239e-05,0.0,0.0,ok
end,RFO7-RFO8,-2e-08,7.71e-06,-3.05e-05,3.064e-05,0.0,0.0,ok
end,RIP1-RIP2,-1.2e-07,5.034e-05,-0.00020954,0.00018882,0.0,0.0,ok
end,RIP2-RIP3,-1e-07,9.096e-05,-0.00038201,0.00045744,0.0,0.0,ok
end,RIP3-RIP4,5e-08,6.25e-05,-0.00020675,0.00024202,0.0,0.0,ok
end,RIP4-RIP5,2.3e-07,4.406e-05,-0.00016878,0.0001813,0.0,0.0,ok
end,RIP5-RIP6,6e-08,1.597e-05,-6.481e-05,5.779e-05,0.0,0.0,ok
end,RIP9-RIP10,1e-08,6.92e-06,-3.63e-05,2.343e-05,0.0,0.0,ok
end,RIP10-RIP11,-3e-08,7.71e-06,-3.063e-05,3.132e-05,0.0,0.0,ok
end,RIP11-RIP12,1.1e-07,2.035e-05,-8.884e-05,7.409e-05,0.0,0.0,ok
end,RIP12-RIP13,1.3e-07,3.308e-05,-0.00012979,0.00020961,0.0,0.0,ok
end,RIP13-RIP14,-8e-08,4.442e-05,-0.00026265,0.00015343,0.0,0.0,ok
end,RIP14-RIP15,-1.1e-07,3.102e-05,-0.00018996,0.00013935,0.0,0.0,ok
end,RDM1-RDM2,5e-08,2.237e-05,-8.97e-05,6.918e-05,0.0,0.0,ok
end,RDM2-RDM3,-9e-08,2.068e-05,-0.00010097,7.118e-05,0.0,0.0,ok
end,RDM3-RDM4,-6e-08,1.67e-05,-7.369e-05,7.421e-05,0.0,0.0,ok
end,RDM4-RDM5,-5e-08,2.154e-05,-0.00012234,8.59e-05,0.0,0.0,ok
end,RDM5-RDM6,-3e-08,1.4e-05,-6e-05,5.073e-05,0.0,0.0,ok
end,RDM6-RDM7,1.2e-07,4.251e-05,-0.00014729,0.00019639,0.0,0.0,ok
end,RDM7-RDM8,6e-08,4.7e-05,-0.00015429,0.00022194,0.0,0.0,ok
end,RTS1-RTS2,-4e-08,1.548e-05,-6.722e-05,5.626e-05,0.0,0.0,ok
end,RTS2-RTS3,-2e-08,1.377e-05,-5.321e-05,5.889e-05,0.0,0.0,ok
end,RTS3-RTS4,-3e-08,1.697e-05,-7.681e-05,7.06e-05,0.0,0.0,ok
end,RTS4-RTS5,-5e-08,1.706e-05,-0.00010794,6.976e-05,0.0,0.0,ok
end,RTS5-RTS6,5e-08,1.432e-05,-6.918e-05,6.218e-05,0.0,0.0,ok
end,RTS6-RTS7,1e-07,1.678e-05,-0.00011051,6.349e-05,0.0,0.0,ok
end,RTS7-RTS8,1e-07,1.923e-05,-0.00011471,8.616e-05,0.0,0.0,ok
end,RTS8-RTS9,1.6e-07,1.683e-05,-8.947e-05,8.496e-05,0.0,0.0,ok
end,RTS9-RTS10,-1e-07,3.011e-05,-0.00011041,0.00013235,0.0,0.0,ok
end,RTS10-RTS11,-5e-08,2.627e-05,-0.00010185,0.00014272,0.0,0.0,ok
end,RTS11-RTS12,2e-08,7.34e-06,-2.898e-05,2.751e-05,0.0,0.0,ok
end,RL1-RL2,3e-08,2.733e-05,-0.00026709,0.00015108,0.0,0.0,ok
end,RL2-RL3,4e-08,5.073e-05,-0.00036116,0.00021606,0.0,0.0,ok
end,RL3-RL4,2e-08,0.00010272,-0.00049604,0.00091411,0.0,0.0,ok
end,RL4-RL5,-3e-08,8.025e-05,-0.00063275,0.0004049,0.0,0.0,ok
end,RL5-RL6,3e-08,3.997e-05,-0.00016188,0.00019516,0.0,0.0,ok
end,RL6-RL7,-4e-08,4.333e-05,-0.00029321,0.00039092,0.0,0.0,ok
end,RL7-RL8,3e-08,2.341e-05,-0.00036208,0.00023588,0.0,0.0,ok
end,RIA1-RIA2,-4e-08,2.552e-05,-9.38e-05,9.712e-05,0.0,0.0,ok
end,RIA2-RIA3,-2e-08,3.32e-05,-0.00012744,0.00011287,0.0,0.0,ok
end,RIA3-RIA4,2.8e-07,8.853e-05,-0.00041012,0.00047573,0.0,0.0,ok
end,RIA4-RIA5,-2.2e-07,4.519e-05,-0.00013663,0.00017386,0.0,0.0,ok
end,RIA5-RIA6,7e-08,6.109e-05,-0.00055744,0.00045009,0.0,0.0,ok
end,RIA6-RIA7,1.9e-07,6.889e-05,-0.00046664,0.00052827,0.0,0.0,ok
end,RIA7-RIA8,-4e-08,5.165e-05,-0.00021021,0.00025192,0.0,0.0,ok
end,RIA8-RIA9,-8e-08,2.923e-05,-0.00020649,0.00014843,0.0,0.0,ok
end,RIA9-RIA10,-0.0,2.476e-05,-9.73e-05,0.00012462,0.0,0.0,ok
end,RIA10-RIA11,1.3e-07,4.771e-05,-0.00029193,0.00025004,0.0,0.0,ok
end,RIA11-RIA12,4e-08,3.617e-05,-0.00021991,0.00017439,0.0,0.0,ok
end,RIA12-RIA13,-1.5e-07,2.532e-05,-0.00012006,0.00012795,0.0,0.0,ok
end,RIA13-RIA14,-6e-08,4.945e-05,-0.00017784,0.00035611,0.0,0.0,ok
end,RIA14-RIA15,2e-08,1.103e-05,-5.664e-05,5.726e-05,0.0,0.0,ok
end,RM1-RM2,2.2e-07,6.162e-05,-0.00024275,0.00024662,0.0,0.0,ok
end,RM2-RM3,-8e-08,4.561e-05,-0.00020327,0.00017886,0.0,0.0,ok
end,RM3-RM4,-9e-08,2.328e-05,-0.00010484,8.846e-05,0.0,0.0,ok
end,RM4-RM5,-9e-08,2.117e-05,-8.418e-05,7.803e-05,0.0,0.0,ok
end,RM5-RM6,2.4e-07,4.519e-05,-0.00018784,0.00020413,0.0,0.0,ok
end,RM6-RM7,-1e-08,3.47e-06,-1.527e-05,1.49e-05,0.0,0.0,ok
end,RM7-RM8,2e-08,4.27e-06,-1.296e-05,1.414e-05,0.0,0.0,ok
end,LPX1-LPX2,5e-08,8.85e-06,-3.413e-05,3.4e-05,0.0,0.0,ok
end,LPX2-LPX3,-1e-08,6.29e-06,-2.765e-05,2.943e-05,0.0,0.0,ok
end,LPX3-LPX4,-0.0,5.39e-06,-2.697e-05,2.068e-05,0.0,0.0,ok
end,LPX4-LPX5,1e-08,5.4e-06,-1.92e-05,2.761e-05,0.0,0.0,ok
end,LPX5-LPX6,2e-08,6.43e-06,-2.869e-05,2.713e-05,0.0,0.0,ok
end,LPX6-LPX7,5e-08,9.61e-06,-4.432e-05,3.67e-05,0.0,0.0,ok
end,LPX7-LPX8,-1e-08,2.065e-05,-9.579e-05,8.129e-05,0.0,0.0,ok
end,LPX8-LPX9,-8e-08,2.877e-05,-0.00011902,0.00014585,0.0,0.0,ok
end,LPX9-LPX10,1e-08,1.442e-05,-5.58e-05,4.776e-05,0.0,0.0,ok
end,LPX10-LPX11,3e-08,5.82e-06,-2.181e-05,2.23e-05,0.0,0.0,ok
end,LPX11-LPX12,-1e-08,4.67e-06,-1.975e-05,1.708e-05,0.0,0.0,ok
end,LTS1-LTS2,4e-08,1.016e-05,-4.279e-05,4.239e-05,0.0,0.0,ok
end,LTS2-LTS3,-3e-08,1.368e-05,-7.348e-05,4.498e-05,0.0,0.0,ok
end,LTS3-LTS4,-1e-07,2.412e-05,-9.991e-05,0.00010143,0.0,0.0,ok
end,LTS4-LTS5,3.1e-07,3.584e-05,-0.00019073,0.00014308,0.0,0.0,ok
end,LTS5-LTS6,-1.4e-07,2.381e-05,-0.00010777,9.47e-05,0.0,0.0,ok
end,LTS6-LTS7,-3.1e-07,3.643e-05,-0.00015604,0.00022081,0.0,0.0,ok
end,LTS7-LTS8,-3e-08,1.069e-05,-4.375e-05,4.93e-05,0.0,0.0,ok
end,LFO1-LFO2,3e-08,1.051e-05,-7.78e-05,4.96e-05,0.0,0.0,ok
end,LFO2-LFO3,1e-07,2.236e-05,-0.00011489,8.316e-05,0.0,0.0,ok
end,LFO3-LFO4,-2e-08,2.415e-05,-9.04e-05,0.0001468,0.0,0.0,ok
end,LFO4-LFO5,-0.0,1.803e-05,-6.882e-05,0.00010095,0.0,0.0,ok
end,LFO5-LFO6,0.0,1.22e-05,-4.38e-05,4.249e-05,0.0,0.0,ok
end,LFO6-LFO7,-1e-08,1.902e-05,-6.585e-05,8.298e-05,0.0,0.0,ok
end,LFO7-LFO8,-1.1e-07,3.865e-05,-0.00014687,0.00013977,0.0,0.0,ok
end,LTM1-LTM2,-4e-08,1.684e-05,-9.349e-05,7.571e-05,0.0,0.0,ok
end,LTM2-LTM3,-4e-08,2.19e-05,-0.00015183,9.925e-05,0.0,0.0,ok
end,LTM3-LTM4,-1.6e-07,3.85e-05,-0.00022824,0.00016502,0.0,0.0,ok
end,LTM4-LTM5,1.9e-07,5.933e-05,-0.00029448,0.00041757,0.0,0.0,ok
end,LTM5-LTM6,-1.8e-07,4.212e-05,-0.00032366,0.00050995,0.0,0.0,ok
end,LTM6-LTM7,9e-08,1.787e-05,-0.00023378,0.00013106,0.0,0.0,ok
end,LTM7-LTM8,-9e-08,1.785e-05,-0.00012946,0.00023521,0.0,0.0,ok
