window,channel,mean,std,min,max,%flat,%saturated,flag
middle,RD1-RD2,2.8e-07,0.00011715,-0.00039153,0.00038752,0.0,0.0,ok
middle,RD2-RD3,-4e-08,6.114e-05,-0.00024053,0.00022233,0.0,0.0,ok
middle,RD3-RD4,9e-08,3.853e-05,-0.0001571,0.00012289,0.0,0.0,ok
middle,RD4-RD5,1.2e-07,5.659e-05,-0.00014917,0.00017693,0.0,0.0,ok
middle,RD5-RD6,-5e-08,1.638e-05,-5.368e-05,6.32e-05,0.0,0.0,ok
middle,RD6-RD7,-9e-08,1.613e-05,-5.4e-05,7.032e-05,0.0,0.0,ok
middle,RD7-RD8,-6e-08,7.37e-06,-2.866e-05,2.457e-05,0.0,0.0,ok
middle,RFO1-RFO2,6.7e-07,0.00010185,-0.00033301,0.00026163,0.0,0.0,ok
middle,RFO2-RFO3,-2.8e-07,6.819e-05,-0.00030815,0.00022412,0.0,0.0,ok
middle,RFO3-RFO4,-5e-07,6.58e-05,-0.00020502,0.00026386,0.0,0.0,ok
middle,RFO4-RFO5,-2.2e-07,4.989e-05,-0.00015293,0.00018175,0.0,0.0,ok
middle,RFO5-RFO6,9.2e-07,9.817e-05,-0.00026448,0.0002991,0.0,0.0,ok
middle,RFO6-RFO7,1.3e-07,1.545e-05,-5.77e-05,5.722e-05,0.0,0.0,ok
middle,RFO7-RFO8,-1e-08,8.65e-06,-3.889e-05,2.959e-05,0.0,0.0,ok
middle,RIP1-RIP2,-5.2e-07,5.037e-05,-0.00021368,0.0002031,0.0,0.0,ok
middle,RIP2-RIP3,-5.3e-07,0.00010774,-0.00030407,0.00046594,0.0,0.0,ok
middle,RIP3-RIP4,1.7e-07,6.365e-05,-0.00021728,0.00023108,0.0,0.0,ok
middle,RIP4-RIP5,4e-07,4.298e-05,-0.00016686,0.00017664,0.0,0.0,ok
middle,RIP5-RIP6,-4e-08,1.75e-05,-7.789e-05,5.802e-05,0.0,0.0,ok
middle,RIP9-RIP10,-1e-08,7.28e-06,-3.257e-05,3.436e-05,0.0,0.0,ok
middle,RIP10-RIP11,1e-08,8.28e-06,-3.573e-05,3.064e-05,0.0,0.0,ok
middle,RIP11-RIP12,7e-08,2.091e-05,-9.179e-05,0.00014157,0.0,0.0,ok
middle,RIP12-RIP13,2.3e-07,3.426e-05,-0.00017824,0.00021691,0.0,0.0,ok
middle,RIP13-RIP14,-3.7e-07,4.236e-05,-0.00034008,0.00023296,0.0,0.0,ok
middle,RIP14-RIP15,-3e-08,2.806e-05,-0.00017108,0.00015049,0.0,0.0,ok
middle,RDM1-RDM2,2e-08,2.102e-05,-8.336e-05,7.389e-05,0.0,0.0,ok
middle,RDM2-RDM3,1.6e-07,2.079e-05,-7.931e-05,8.886e-05,0.0,0.0,ok
middle,RDM3-RDM4,8e-08,1.78e-05,-8.429e-05,6.396e-05,0.0,0.0,ok
middle,RDM4-RDM5,0.0,2.512e-05,-0.00012308,0.00010387,0.0,0.0,ok
middle,RDM5-RDM6,2e-08,1.526e-05,-6.703e-05,6.259e-05,0.0,0.0,ok
middle,RDM6-RDM7,-1e-08,4.321e-05,-0.00013495,0.00017843,0.0,0.0,ok
middle,RDM7-RDM8,1.6e-07,0.00087011,-0.01246667,0.01533376,0.0,0.0,ok
middle,RTS1-RTS2,0.0,1.717e-05,-8.893e-05,5.855e-05,0.0,0.0,ok
middle,RTS2-RTS3,-0.0,1.484e-05,-8.237e-05,6.127e-05,0.0,0.0,ok
middle,RTS3-RTS4,-6e-08,1.59e-05,-0.00010271,8.71e-05,0.0,0.0,ok
middle,RTS4-RTS5,-7e-08,1.552e-05,-0.00010299,5.96e-05,0.0,0.0,ok
middle,RTS5-RTS6,-8e-08,1.302e-05,-6.903e-05,6.079e-05,0.0,0.0,ok
middle,RTS6-RTS7,1e-08,1.45e-05,-7.789e-05,6.248e-05,0.0,0.0,ok
middle,RTS7-RTS8,3e-08,1.75e-05,-0.00010452,8.391e-05,0.0,0.0,ok
middle,RTS8-RTS9,1e-08,1.68e-05,-8.142e-05,0.00013406,0.0,0.0,ok
middle,RTS9-RTS10,3.4e-07,2.562e-05,-9.858e-05,0.00011903,0.0,0.0,ok
middle,RTS10-RTS11,2e-07,2.248e-05,-9.898e-05,0.0001067,0.0,0.0,ok
middle,RTS11-RTS12,2e-08,7.07e-06,-3.103e-05,3.1e-05,0.0,0.0,ok
middle,RL1-RL2,2.1e-07,2.516e-05,-0.00011373,0.00016442,0.0,0.0,ok
middle,RL2-RL3,-2.4e-07,4.868e-05,-0.00026103,0.00025019,0.0,0.0,ok
middle,RL3-RL4,2.3e-07,8.38e-05,-0.0003659,0.00044536,0.0,0.0,ok
middle,RL4-RL5,-5.5e-07,6.756e-05,-0.00050693,0.00039444,0.0,0.0,ok
middle,RL5-RL6,3.5e-07,3.544e-05,-0.00016403,0.00020072,0.0,0.0,ok
middle,RL6-RL7,-3.35e-06,0.00025028,-0.00225941,0.00330262,0.0,0.0,ok
middle,RL7-RL8,3.59e-06,0.00024055,-0.00316688,0.00220779,0.0,0.0,ok
middle,RIA1-RIA2,-8e-08,3.152e-05,-0.00010862,0.00010066,0.0,0.0,ok
middle,RIA2-RIA3,-3.1e-07,3.353e-05,-0.00010782,0.00015509,0.0,0.0,ok
middle,RIA3-RIA4,-4.1e-07,0.00010374,-0.00031024,0.00034112,0.0,0.0,ok
middle,RIA4-RIA5,0.0,4.207e-05,-0.00014966,0.00014009,0.0,0.0,ok
middle,RIA5-RIA6,9e-08,1.41e-05,-6.035e-05,5.136e-05,0.0,0.0,ok
middle,RIA6-RIA7,2.7e-07,2.561e-05,-8.767e-05,0.00011396,0.0,0.0,ok
